species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,35.6,17.5,191,3175,female
Adelie,Dream,40.2,20.1,200,3975,male
Adelie,Dream,37,16.5,185,3400,female
Adelie,Dream,39.7,17.9,193,4250,male
Adelie,Dream,40.2,17.1,193,3400,female
Adelie,Dream,40.6,17.2,187,3475,male
Adelie,Dream,32.1,15.5,188,3050,female
Adelie,Dream,40.7,17,190,3725,male
Adelie,Dream,37.3,16.8,192,3000,female
Adelie,Dream,39,18.7,185,3650,male
Adelie,Dream,39.2,18.6,190,4250,male
Adelie,Dream,36.6,18.4,184,3475,female
Adelie,Dream,36,17.8,195,3450,female
Adelie,Dream,37.8,18.1,193,3750,male
Adelie,Dream,36,17.1,187,3700,female
Adelie,Dream,41.5,18.5,201,4000,male
Chinstrap,Dream,46.5,17.9,192,3500,female
Chinstrap,Dream,50,19.5,196,3900,male
Chinstrap,Dream,51.3,19.2,193,3650,male
Chinstrap,Dream,45.4,18.7,188,3525,female
Chinstrap,Dream,52.7,19.8,197,3725,male
Chinstrap,Dream,45.2,17.8,198,3950,female
Chinstrap,Dream,46.1,18.2,178,3250,female
Chinstrap,Dream,51.3,18.2,197,3750,male
Chinstrap,Dream,46,18.9,195,4150,female
Chinstrap,Dream,51.3,19.9,198,3700,male
Chinstrap,Dream,46.6,17.8,193,3800,female
Chinstrap,Dream,51.7,20.3,194,3775,male
Chinstrap,Dream,47,17.3,185,3700,female
Chinstrap,Dream,52,18.1,201,4050,male
Chinstrap,Dream,45.9,17.1,190,3575,female
Chinstrap,Dream,50.5,19.6,201,4050,male
Chinstrap,Dream,50.3,20,197,3300,male
Chinstrap,Dream,58,17.8,181,3700,female
Chinstrap,Dream,46.4,18.6,190,3450,female
Chinstrap,Dream,49.2,18.2,195,4400,male
Chinstrap,Dream,42.4,17.3,181,3600,female
Chinstrap,Dream,48.5,17.5,191,3400,male
Chinstrap,Dream,43.2,16.6,187,2900,female
Chinstrap,Dream,50.6,19.4,193,3800,male
Chinstrap,Dream,46.7,17.9,195,3300,female
Chinstrap,Dream,52,19,197,4150,male
Chinstrap,Dream,50.5,18.4,200,3400,female
Chinstrap,Dream,49.5,19,200,3800,male
Chinstrap,Dream,46.4,17.8,191,3700,female
Chinstrap,Dream,52.8,20,205,4550,male
Chinstrap,Dream,40.9,16.6,187,3200,female
Chinstrap,Dream,54.2,20.8,201,4300,male
Chinstrap,Dream,42.5,16.7,187,3350,female
Chinstrap,Dream,51,18.8,203,4100,male
Chinstrap,Dream,49.7,18.6,195,3600,male
Chinstrap,Dream,47.5,16.8,199,3900,female
Chinstrap,Dream,47.6,18.3,195,3850,female
Chinstrap,Dream,52,20.7,210,4800,male
Chinstrap,Dream,46.9,16.6,192,2700,female
Chinstrap,Dream,53.5,19.9,205,4500,male
Chinstrap,Dream,49,19.5,210,3950,male
Chinstrap,Dream,46.2,17.5,187,3650,female
Chinstrap,Dream,50.9,19.1,196,3550,male
Chinstrap,Dream,45.5,17,196,3500,female
Chinstrap,Dream,50.9,17.9,196,3675,female
Chinstrap,Dream,50.8,18.5,201,4450,male
Chinstrap,Dream,50.1,17.9,190,3400,female
Chinstrap,Dream,49,19.6,212,4300,male
Chinstrap,Dream,51.5,18.7,187,3250,male
Chinstrap,Dream,49.8,17.3,198,3675,female
Chinstrap,Dream,48.1,16.4,199,3325,female
Chinstrap,Dream,51.4,19,201,3950,male
Chinstrap,Dream,45.7,17.3,193,3600,female
Chinstrap,Dream,50.7,19.7,203,4050,male
Chinstrap,Dream,42.5,17.3,187,3350,female
Chinstrap,Dream,52.2,18.8,197,3450,male
Chinstrap,Dream,45.2,16.6,191,3250,female
Chinstrap,Dream,49.3,19.9,203,4050,male
Chinstrap,Dream,50.2,18.8,202,3800,male
Chinstrap,Dream,45.6,19.4,194,3525,female
Chinstrap,Dream,51.9,19.5,206,3950,male
Chinstrap,Dream,46.8,16.5,189,3650,female
Chinstrap,Dream,45.7,17,195,3650,female
Chinstrap,Dream,55.8,19.8,207,4000,male
Chinstrap,Dream,43.5,18.1,202,3400,female
Chinstrap,Dream,49.6,18.2,193,3775,male
Chinstrap,Dream,50.8,19,210,4100,male
Chinstrap,Dream,50.2,18.7,198,3775,female
Gentoo,Biscoe,46.1,13.2,211,4500,female
Gentoo,Biscoe,50,16.3,230,5700,male
Gentoo,Biscoe,48.7,14.1,210,4450,female
Gentoo,Biscoe,50,15.2,218,5700,male
Gentoo,Biscoe,47.6,14.5,215,5400,male
Gentoo,Biscoe,46.5,13.5,210,4550,female
Gentoo,Biscoe,45.4,14.6,211,4800,female
Gentoo,Biscoe,46.7,15.3,219,5200,male
Gentoo,Biscoe,43.3,13.4,209,4400,female
Gentoo,Biscoe,46.8,15.4,215,5150,male
Gentoo,Biscoe,40.9,13.7,214,4650,female
Gentoo,Biscoe,49,16.1,216,5550,male
Gentoo,Biscoe,45.5,13.7,214,4650,female
Gentoo,Biscoe,48.4,14.6,213,5850,male
Gentoo,Biscoe,45.8,14.6,210,4200,female
Gentoo,Biscoe,49.3,15.7,217,5850,male
Gentoo,Biscoe,42,13.5,210,4150,female
Gentoo,Biscoe,49.2,15.2,221,6300,male
Gentoo,Biscoe,46.2,14.5,209,4800,female
Gentoo,Biscoe,48.7,15.1,222,5350,male
Gentoo,Biscoe,50.2,14.3,218,5700,male
Gentoo,Biscoe,45.1,14.5,215,5000,female
Gentoo,Biscoe,46.5,14.5,213,4400,female
Gentoo,Biscoe,46.3,15.8,215,5050,male
Gentoo,Biscoe,42.9,13.1,215,5000,female
Gentoo,Biscoe,46.1,15.1,215,5100,male
Gentoo,Biscoe,47.8,15,215,5650,male
Gentoo,Biscoe,48.2,14.3,210,4600,female
Gentoo,Biscoe,50,15.3,220,5550,male
Gentoo,Biscoe,47.3,15.3,222,5250,male
Gentoo,Biscoe,42.8,14.2,209,4700,female
Gentoo,Biscoe,45.1,14.5,207,5050,female
Gentoo,Biscoe,59.6,17,230,6050,male
Gentoo,Biscoe,49.1,14.8,220,5150,female
Gentoo,Biscoe,48.4,16.3,220,5400,male
Gentoo,Biscoe,42.6,13.7,213,4950,female
Gentoo,Biscoe,44.4,17.3,219,5250,male
Gentoo,Biscoe,44,13.6,208,4350,female
Gentoo,Biscoe,48.7,15.7,208,5350,male
Gentoo,Biscoe,42.7,13.7,208,3950,female
Gentoo,Biscoe,49.6,16,225,5700,male
Gentoo,Biscoe,45.3,13.7,210,4300,female
Gentoo,Biscoe,49.6,15,216,4750,male
Gentoo,Biscoe,50.5,15.9,222,5550,male
Gentoo,Biscoe,43.6,13.9,217,4900,female
Gentoo,Biscoe,45.5,13.9,210,4200,female
Gentoo,Biscoe,50.5,15.9,225,5400,male
Gentoo,Biscoe,44.9,13.3,213,5100,female
Gentoo,Biscoe,45.2,15.8,215,5300,male
Gentoo,Biscoe,46.6,14.2,210,4850,female
Gentoo,Biscoe,48.5,14.1,220,5300,male
Gentoo,Biscoe,45.1,14.4,210,4400,female
Gentoo,Biscoe,50.1,15,225,5000,male
Gentoo,Biscoe,46.5,14.4,217,4900,female
Gentoo,Biscoe,45,15.4,220,5050,male
Gentoo,Biscoe,43.8,13.9,208,4300,female
Gentoo,Biscoe,45.5,15,220,5000,male
Gentoo,Biscoe,43.2,14.5,208,4450,female
Gentoo,Biscoe,50.4,15.3,224,5550,male
Gentoo,Biscoe,45.3,13.8,208,4200,female
Gentoo,Biscoe,46.2,14.9,221,5300,male
Gentoo,Biscoe,45.7,13.9,214,4400,female
Gentoo,Biscoe,54.3,15.7,231,5650,male
Gentoo,Biscoe,45.8,14.2,219,4700,female
Gentoo,Biscoe,49.8,16.8,230,5700,male
Gentoo,Biscoe,49.5,16.2,229,5800,male
Gentoo,Biscoe,43.5,14.2,220,4700,female
Gentoo,Biscoe,50.7,15,223,5550,male
Gentoo,Biscoe,47.7,15,216,4750,female
Gentoo,Biscoe,46.4,15.6,221,5000,male
Gentoo,Biscoe,48.2,15.6,221,5100,male
Gentoo,Biscoe,46.5,14.8,217,5200,female
Gentoo,Biscoe,46.4,15,216,4700,female
Gentoo,Biscoe,48.6,16,230,5800,male
Gentoo,Biscoe,47.5,14.2,209,4600,female
Gentoo,Biscoe,51.1,16.3,220,6000,male
Gentoo,Biscoe,45.2,13.8,215,4750,female
Gentoo,Biscoe,45.2,16.4,223,5950,male
Gentoo,Biscoe,49.1,14.5,212,4625,female
Gentoo,Biscoe,52.5,15.6,221,5450,male
Gentoo,Biscoe,47.4,14.6,212,4725,female
Gentoo,Biscoe,50,15.9,224,5350,male
Gentoo,Biscoe,44.9,13.8,212,4750,female
Gentoo,Biscoe,50.8,17.3,228,5600,male
Gentoo,Biscoe,43.4,14.4,218,4600,female
Gentoo,Biscoe,51.3,14.2,218,5300,male
Gentoo,Biscoe,47.5,14,212,4875,female
Gentoo,Biscoe,52.1,17,230,5550,male
Gentoo,Biscoe,47.5,15,218,4950,female
Gentoo,Biscoe,52.2,17.1,228,5400,male
Gentoo,Biscoe,45.5,14.5,212,4750,female
Gentoo,Biscoe,49.5,16.1,224,5650,male
Gentoo,Biscoe,44.5,14.7,214,4850,female
Gentoo,Biscoe,50.8,15.7,226,5200,male
Gentoo,Biscoe,49.4,15.8,216,4925,male
Gentoo,Biscoe,46.9,14.6,222,4875,female
Gentoo,Biscoe,48.4,14.4,203,4625,female
Gentoo,Biscoe,51.1,16.5,225,5250,male
Gentoo,Biscoe,48.5,15,219,4850,female
Gentoo,Biscoe,55.9,17,228,5600,male
Gentoo,Biscoe,47.2,15.5,215,4975,female
Gentoo,Biscoe,49.1,15,228,5500,male
Gentoo,Biscoe,46.8,16.1,215,5500,male
Gentoo,Biscoe,41.7,14.7,210,4700,female
Gentoo,Biscoe,53.4,15.8,219,5500,male
Gentoo,Biscoe,43.3,14,208,4575,female
Gentoo,Biscoe,48.1,15.1,209,5500,male
Gentoo,Biscoe,50.5,15.2,216,5000,female
Gentoo,Biscoe,49.8,15.9,229,5950,male
Gentoo,Biscoe,43.5,15.2,213,4650,female
Gentoo,Biscoe,51.5,16.3,230,5500,male
Gentoo,Biscoe,46.2,14.1,217,4375,female
Gentoo,Biscoe,55.1,16,230,5850,male
Gentoo,Biscoe,48.8,16.2,222,6000,male
Gentoo,Biscoe,47.2,13.7,214,4925,female
Gentoo,Biscoe,46.8,14.3,215,4850,female
Gentoo,Biscoe,50.4,15.7,222,5750,male
Gentoo,Biscoe,45.2,14.8,212,5200,female
Gentoo,Biscoe,49.9,16.1,213,5400,male
Adelie,Dream,45.2,17.4,225.3,3128.1,male
Gentoo,Torgersen,40.7,20.9,198.9,4588.3,male
Gentoo,Biscoe,48.6,19.1,217.5,4101.0,male
Adelie,Biscoe,37.7,20.5,193.2,6243.7,male
Gentoo,Dream,37.4,19.7,180.0,4609.2,male
Adelie,Dream,42.3,14.6,187.7,6288.0,male
Gentoo,Biscoe,33.5,18.5,210.2,5119.5,female
Gentoo,Dream,40.2,18.7,172.8,4222.7,female
Adelie,Dream,35.7,15.9,192.6,5792.2,female
Gentoo,Biscoe,37.7,21.1,179.5,5519.6,male
Adelie,Torgersen,48.6,16.9,186.1,4275.3,male
Gentoo,Torgersen,58.1,20.9,215.4,3293.1,female
Gentoo,Biscoe,39.6,18.1,219.1,4876.2,female
Adelie,Dream,48.4,16.2,186.5,4953.5,female
Chinstrap,Torgersen,48.5,20.1,202.1,5224.6,female
Adelie,Biscoe,35.1,14.4,206.8,5491.0,female
Chinstrap,Biscoe,54.1,13.4,188.6,3634.0,female
Adelie,Dream,36.5,13.6,211.9,4526.6,female
Chinstrap,Dream,35.6,15.0,211.9,4668.1,female
Adelie,Biscoe,35.5,13.3,225.8,4984.6,female
Adelie,Biscoe,54.5,15.4,182.4,5024.1,male
Adelie,Biscoe,55.1,19.4,222.0,4400.9,female
Adelie,Biscoe,37.2,21.0,211.9,5337.8,male
Adelie,Biscoe,36.0,16.8,188.4,5647.1,male
Chinstrap,Torgersen,35.3,17.6,228.5,4176.3,male
Gentoo,Torgersen,50.1,16.1,219.4,5107.5,female
Gentoo,Biscoe,33.4,14.6,219.9,3307.3,male
Gentoo,Biscoe,55.9,17.0,196.6,4237.5,male
Adelie,Torgersen,33.6,14.8,214.0,2871.6,female
Adelie,Dream,46.9,17.7,189.3,5528.6,male
Chinstrap,Biscoe,58.3,17.5,198.7,4473.5,male
Gentoo,Biscoe,58.6,17.6,196.9,6296.6,female
Adelie,Torgersen,54.4,15.9,222.4,3032.9,male
Adelie,Biscoe,36.0,15.6,221.6,4722.1,male
Adelie,Biscoe,43.7,18.3,172.4,5689.3,female
Gentoo,Dream,38.1,19.1,191.9,4487.0,male
Chinstrap,Dream,57.0,18.6,186.5,3792.2,male
Gentoo,Biscoe,50.9,17.4,199.8,4410.6,female
Gentoo,Torgersen,44.1,21.0,192.3,3124.6,male
Gentoo,Biscoe,33.6,15.7,230.3,4799.8,male
Gentoo,Dream,47.4,16.4,195.6,6296.3,male
Gentoo,Dream,55.8,19.3,187.8,5461.4,male
Gentoo,Biscoe,55.4,18.2,176.3,4643.6,female
Adelie,Biscoe,54.8,19.9,195.1,2823.7,female
Adelie,Dream,52.5,16.3,203.6,3724.6,female
Gentoo,Biscoe,35.3,18.9,178.4,3569.6,male
Gentoo,Biscoe,49.4,21.5,203.7,4431.7,female
Adelie,Torgersen,40.0,17.9,183.3,5443.4,male
Adelie,Biscoe,40.6,15.0,210.5,4338.8,male
Gentoo,Torgersen,47.4,15.5,177.7,5751.4,male
Adelie,Torgersen,58.5,13.1,183.5,5771.5,male
Chinstrap,Dream,43.3,15.9,219.0,4016.3,female
Adelie,Dream,46.2,18.3,201.0,4113.0,female
Adelie,Dream,57.0,19.4,212.3,3351.4,female
Gentoo,Torgersen,41.1,15.0,188.0,4122.0,female
Adelie,Dream,56.9,14.5,213.8,3400.1,male
Adelie,Dream,35.6,15.8,201.0,5488.4,female
Gentoo,Biscoe,51.6,17.1,227.2,2913.9,male
Adelie,Dream,48.6,18.0,210.6,3128.1,male
Chinstrap,Torgersen,59.6,15.1,224.1,4687.9,female
Adelie,Biscoe,37.4,21.4,180.1,4110.0,female
Gentoo,Biscoe,37.9,18.3,213.3,6284.4,male
Adelie,Dream,44.0,20.9,178.9,4299.8,male
Adelie,Dream,57.8,13.2,217.6,3501.3,female
Adelie,Dream,35.9,19.5,186.5,4921.6,female
Chinstrap,Dream,49.4,13.1,186.3,4508.3,female
